Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore,ZAKRZEWSKA Krystyna Barbara,F,FIRENZE,Medicina e Chirurgia,MED/07,,SANITA' PUBBLICA,2008,06 - Scienze mediche
Ricercatore non confermato,ZAMAGNI Elena,F,BOLOGNA,Medicina e Chirurgia,MED/15,,"EMATOLOGIA E SCIENZE ONCOLOGICHE ""L. E A. SERAGNOLI""",2008,06 - Scienze mediche
Ricercatore,ZAMBETTI Giampietro,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/31,,ORGANI DI SENSO,2008,06 - Scienze mediche
Ricercatore non confermato,ZAMBOLI Pasquale,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/14,,"GERONTOLOGIA, GERIATRIA E MALATTIE DEL METABOLISMO",2008,06 - Scienze mediche
Ricercatore,ZAMBON Alberto,M,PADOVA,Medicina e Chirurgia,MED/09,,SCIENZE MEDICHE E CHIRURGICHE,2008,06 - Scienze mediche
Ricercatore,ZAMBON Antonella,F,MILANO-BICOCCA,Scienze Statistiche,MED/01,,STATISTICA,2008,06 - Scienze mediche
Ricercatore,ZAMBON Paola,F,PADOVA,Medicina e Chirurgia,MED/42,,SCIENZE ONCOLOGICHE E CHIRURGICHE,2008,06 - Scienze mediche
Associato confermato,ZAMBONI Giuseppe,M,VERONA,Medicina e Chirurgia,MED/08,,PATOLOGIA E DIAGNOSTICA,2008,06 - Scienze mediche
Associato confermato,ZAMBONI Mauro,M,VERONA,Medicina e Chirurgia,MED/09,,MEDICINA,2008,06 - Scienze mediche
Associato non confermato,ZAMBONI Paolo,M,FERRARA,Medicina e Chirurgia,MED/18,,"SCIENZE CHIRURGICHE, ANESTESIOLOGICHE E RADIOLOGICHE",2008,06 - Scienze mediche
Ricercatore,ZAMO' Alberto,M,VERONA,Medicina e Chirurgia,MED/08,,Non disponibile,2008,06 - Scienze mediche
Ricercatore,ZAMPARELLI Roberto,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/41,,ANESTESIOLOGIA E RIANIMAZIONE,2008,06 - Scienze mediche
Ricercatore non confermato,ZAMPI Massimiliano,M,MACERATA,Giurisprudenza,MED/43,,MEDICINA LEGALE,2008,06 - Scienze mediche
Ricercatore,ZAMPINO Giuseppe,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/38,,CLINICA PEDIATRICA,2008,06 - Scienze mediche
Ricercatore non confermato,ZAMPINO Rosa,F,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/09,,"GERONTOLOGIA, GERIATRIA E MALATTIE DEL METABOLISMO",2008,06 - Scienze mediche
Ricercatore,ZANARDO Vincenzo,M,PADOVA,Medicina e Chirurgia,MED/38,,PEDIATRIA,2008,06 - Scienze mediche
Ricercatore,ZANASI Marco,M,"ROMA ""Tor Vergata""",Medicina e Chirurgia,MED/25,,NEUROSCIENZE,2008,06 - Scienze mediche
Associato confermato,ZANCAN Lucia,F,PADOVA,Medicina e Chirurgia,MED/38,,PEDIATRIA,2008,06 - Scienze mediche
Associato confermato,ZANCHIN Giorgio,M,PADOVA,Medicina e Chirurgia,MED/26,,NEUROSCIENZE,2008,06 - Scienze mediche
Ricercatore,ZANCHINI Fabio,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/33,,"SCIENZE ORTOPEDICHE, TRAUMATOLOGICHE, RIABILITATIVE E PLASTICO-RICOSTRUTTIVE",2008,06 - Scienze mediche
Ordinario,ZANCHINI Massimo,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/33,,"SCIENZE ORTOPEDICHE, TRAUMATOLOGICHE, RIABILITATIVE E PLASTICO-RICOSTRUTTIVE",2008,06 - Scienze mediche
Associato non confermato,ZANCONATI Fabrizio,M,TRIESTE,Medicina e Chirurgia,MED/08,,"UNIVERSITARIO CLINICO DI SCIENZE MEDICHE, CHIRURGICHE E DELLA SALUTE",2008,06 - Scienze mediche
Associato confermato,ZANCONATO Giovanni,M,VERONA,Medicina e Chirurgia,MED/40,,SCIENZE DELLA VITA E DELLA RIPRODUZIONE,2008,06 - Scienze mediche
Associato confermato,ZANDOMENEGHI Renato,M,MODENA e REGGIO EMILIA,Medicina e Chirurgia,MED/09,,MEDICINA INTERNA,2008,06 - Scienze mediche
Ricercatore,ZANELLI Giacomo,M,SIENA,Medicina e Chirurgia,MED/17,,BIOTECNOLOGIE,2008,06 - Scienze mediche
Associato non confermato,ZANELLO Marco,M,BOLOGNA,Medicina e Chirurgia,MED/41,,SCIENZE CHIRURGICHE SPECIALISTICHE E ANESTESIOLOGICHE,2008,06 - Scienze mediche
Ricercatore,ZANETTE Gastone,M,PADOVA,Medicina e Chirurgia,MED/41,,NEUROSCIENZE SCIENZE NPSRR,2008,06 - Scienze mediche
