,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
19358,19358,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'ANTONA Lucia,F,CATANZARO,,MED/03,06/A1,SCIENZE DELLA SALUTE,2024,06 - Scienze mediche
19359,19359,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),D'ANTONIO Fabrizia,F,"ROMA ""La Sapienza""",,MED/26,06/D6,NEUROSCIENZE UMANE,2024,06 - Scienze mediche
19360,19360,Associato,D'ANTONIO Francesco,M,CHIETI-PESCARA,,MED/40,06/H1,Medicina e scienze dell'invecchiamento,2024,06 - Scienze mediche
19361,19361,Associato,D'APOLITO Maria,F,FOGGIA,,MED/03,06/A1,MEDICINA CLINICA E SPERIMENTALE,2024,06 - Scienze mediche
19362,19362,Ricercatore,D'AQUINO Antonio,M,MESSINA,,MED/06,06/D3,"Patologia Umana dell'Adulto e dell'et� evolutiva "" G.Barresi""",2024,06 - Scienze mediche
19363,19363,Ordinario,D'ARCANGELO Camillo,M,CHIETI-PESCARA,,MED/28,06/F1,"Scienze Mediche, Orali e Biotecnologiche",2024,06 - Scienze mediche
19364,19364,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'ARDES Damiano,M,CHIETI-PESCARA,,MED/09,06/B1,MEDICINA E SCIENZE DELL'INVECCHIAMENTO,2024,06 - Scienze mediche
19365,19365,Associato,D'ARMIENTO Maria,F,Napoli Federico II,,MED/08,06/A4,Sanit� Pubblica,2024,06 - Scienze mediche
19366,19366,Ordinario,D'ARMINI Andrea Maria,M,PAVIA,,MED/23,06/E1,"SCIENZE CLINICO-CHIRURGICHE, DIAGNOSTICHE E PEDIATRICHE",2024,06 - Scienze mediche
19367,19367,Associato confermato,D'ARPA Francesco,M,PALERMO,,MED/18,06/C1,"Medicina di Precisione in area Medica, Chirurgica e Critica",2024,06 - Scienze mediche
19368,19368,Associato,D'ASCENZI Flavio,M,SIENA,,M-EDF/01,06/N2,Biotecnologie Mediche,2024,"11 - Scienze storiche, filosofiche, pedagogiche e psicologiche"
19369,19369,Associato,D'ASCENZO Fabrizio,M,TORINO,,MED/11,06/D1,Scienze mediche,2024,06 - Scienze mediche
19370,19370,Associato,D'ATTILIO Michele,M,CHIETI-PESCARA,,MED/28,06/F1,DIPARTIMENTO DI TECNOLOGIE INNOVATIVE IN MEDICINA & ODONTOIATRIA,2024,06 - Scienze mediche
19371,19371,Associato,D'AVIERO Andrea,M,CHIETI-PESCARA,,MED/36,06/I1,"Scienze Mediche, Orali e Biotecnologiche",2024,06 - Scienze mediche
19372,19372,Associato,D'ELIA Francesca,F,SALERNO,,M-EDF/01,11/D2,"Scienze Umane, Filosofiche e della Formazione",2024,"11 - Scienze storiche, filosofiche, pedagogiche e psicologiche"
19373,19373,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'ELIA Lanfranco,M,Napoli Federico II,,MED/50,06/N1,MEDICINA CLINICA E CHIRURGIA,2024,06 - Scienze mediche
