,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
52250,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAROLI Paolo,M,TORINO,,IUS/17,12/G1,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52251,Ordinario,CAROLI CASAVOLA Hilde,F,MOLISE,,IUS/09,12/D1,Giuridico,2023,12 - Scienze giuridiche
52252,Ordinario,CAROTA Lisia,F,CHIETI-PESCARA,,IUS/01,12/A1,Scienze giuridiche e sociali,2023,12 - Scienze giuridiche
52253,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CARPANELLI Elena,F,PARMA,,IUS/13,12/E1,"GIURISPRUDENZA, STUDI POLITICI E INTERNAZIONALI",2023,12 - Scienze giuridiche
52254,Associato,CARPANETO Laura,F,GENOVA,,IUS/14,12/E4,Scienze politiche (DISPO),2023,12 - Scienze giuridiche
52255,Ordinario,CARPENTIERI Loredana,F,"""Parthenope"" di NAPOLI",,IUS/12,12/D2,STUDI ECONOMICI E GIURIDICI,2023,12 - Scienze giuridiche
52256,Associato,CARPI Angela,F,BOLOGNA,,IUS/02,12/E2,Scienze Giuridiche,2023,12 - Scienze giuridiche
52257,Ordinario,CARRABBA Achille Antonio,M,BARI,,IUS/01,12/A1,"Economia, Management e Diritto dellImpresa",2023,12 - Scienze giuridiche
52258,Associato,CARRARO AVENTI Giuseppe,M,Napoli Federico II,,IUS/04,12/B1,Giurisprudenza,2023,12 - Scienze giuridiche
52259,Ordinario,CARRATTA Antonio,M,ROMA TRE,,IUS/15,12/F1,Giurisprudenza,2023,12 - Scienze giuridiche
52260,Associato,CARREA Simone,M,GENOVA,,IUS/13,12/E1,Giurisprudenza,2023,12 - Scienze giuridiche
52261,Associato,CARRER Matteo,M,BERGAMO,,IUS/09,12/C1,Giurisprudenza,2023,12 - Scienze giuridiche
