Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,MARENGHI Enzo Maria,M,SALERNO,Giurisprudenza,IUS/10,12/D1,DIRITTO PUBBLICO E TEORIA E STORIA DELLE ISTITUZIONI/DDPTSI,2011,12 - Scienze giuridiche
Ricercatore,MARENGHI Gherardo Maria,M,SALERNO,Giurisprudenza,IUS/02,12/E2,DIRITTI DELLA PERSONA E COMPARAZIONE/DIRPE,2011,12 - Scienze giuridiche
Associato confermato,MARENGO Roberto,M,Suor Orsola Benincasa - NAPOLI,Giurisprudenza,IUS/15,12/F1,ISTITUTO UNIVERSITARIO SUOR ORSOLA BENINCASA,2011,12 - Scienze giuridiche
Ordinario,MARESCA Arturo,M,"ROMA ""La Sapienza""",Giurisprudenza (*),IUS/07,12/B2,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ordinario,MARESCA Maurizio,M,UDINE,,IUS/14,12/E1,Scienze Giuridiche,2011,12 - Scienze giuridiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),MARGARITA Marco,M,"Univ. Telematica ""E-CAMPUS""",Giurisprudenza,IUS/12,12/D2,Non disponibile,2011,12 - Scienze giuridiche
Ricercatore,MARGIOTTA BROGLIO MASSUCCI Costanza,F,PADOVA,Scienze Politiche,IUS/20,12/H3,DIRITTO COMPARATO,2011,12 - Scienze giuridiche
Ricercatore,MARI Giuseppina,F,Napoli Federico II,Architettura,IUS/10,12/D1,PROGETTAZIONE URBANA E DI URBANISTICA,2011,12 - Scienze giuridiche
Ordinario,MARI Luigi,M,Urbino Carlo Bo,Giurisprudenza,IUS/13,12/E1,"SCIENZE GIURIDICHE ""COLLEGIO DEI DOTTORI 1506""",2011,12 - Scienze giuridiche
Associato non confermato,MARIANI Maria Paola,F,Bocconi MILANO,Economia,IUS/13,12/E1,STUDI GIURIDICI,2011,12 - Scienze giuridiche
Ricercatore,MARIANI Michele,M,PISA,Giurisprudenza,IUS/07,12/B2,DIRITTO PRIVATO,2011,12 - Scienze giuridiche
Ricercatore,MARICONDA Clara,F,"CAMPANIA - ""L. VANVITELLI""","Studi Politici Alta Formaz. Europea Mediter. ""Jean Monnet""",IUS/02,12/E2,STUDI EUROPEI E MEDITERRANEI,2011,12 - Scienze giuridiche
Associato confermato,MARIMPIETRI Ivana,F,CASSINO e LAZIO MERIDIONALE,Economia,IUS/07,12/B2,"IMPRESA, AMBIENTE E MANAGEMENT",2011,12 - Scienze giuridiche
Ricercatore,MARINAI Simone,M,PISA,Giurisprudenza,IUS/13,12/E1,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),MARINELLI Damiano,M,"Univ. Telematica ""E-CAMPUS""",Economia,IUS/01,12/A1,Non disponibile,2011,12 - Scienze giuridiche
Ordinario,MARINELLI Fabrizio,M,L'AQUILA,Economia,IUS/01,12/A1,SISTEMI E ISTITUZIONI PER L'ECONOMIA,2011,12 - Scienze giuridiche
Ricercatore,MARINELLI Francesca,F,MILANO,Giurisprudenza,IUS/07,12/B2,"ECONOMIA, DIRITTO DEL LAVORO E DIRITTO TRIBUTARIO",2011,12 - Scienze giuridiche
Ordinario,MARINELLI Marino,M,TRENTO,Giurisprudenza,IUS/15,12/F1,Non disponibile,2011,12 - Scienze giuridiche
Ordinario,MARINELLI Massimiliano,M,PALERMO,Giurisprudenza,IUS/07,12/B2,DIRITTO PRIVATO GENERALE,2011,12 - Scienze giuridiche
Ordinario,MARINI Francesco Saverio,M,"ROMA ""Tor Vergata""",Giurisprudenza,IUS/09,12/C1,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
