Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,LONGHESE Maria Pia,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,BIO/18,,BIOTECNOLOGIE E BIOSCIENZE,2010,05 - Scienze biologiche
Ordinario,LONGO Guglielmo,M,CATANIA,Scienze Matematiche Fisiche e Naturali,BIO/06,,"SCIENZE BIOLOGICHE, GEOLOGICHE E AMBIENTALI",2010,05 - Scienze biologiche
Associato confermato,LONGONI Biancamaria,F,PISA,Medicina e Chirurgia,BIO/14,,"ONCOLOGIA,DEI TRAPIANTI E DELLE NUOVE TECNOLOGIE IN MEDICINA",2010,05 - Scienze biologiche
Ricercatore,LOPPI Stefano,M,SIENA,Scienze Matematiche Fisiche e Naturali,BIO/02,,SCIENZE AMBIENTALI,2010,05 - Scienze biologiche
Associato confermato,LORA LAMIA DONIN Carla,F,MILANO,Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA,2010,05 - Scienze biologiche
Associato confermato,LORENI Fabrizio,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,BIO/11,,BIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LORENZI Caterina,F,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,BIO/07,,BIOLOGIA,2010,05 - Scienze biologiche
Ordinario,LORENZI Roberto,M,PISA,Scienze Matematiche Fisiche e Naturali,BIO/04,,BIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LORENZINI Antonello,M,BOLOGNA,Scienze Motorie,BIO/10,,BIOCHIMICA,2010,05 - Scienze biologiche
Associato confermato,LORENZON Paola,F,TRIESTE,Farmacia,BIO/09,,SCIENZE DELLA VITA,2010,05 - Scienze biologiche
Ricercatore,LORENZONI Massimo,M,PERUGIA,Scienze Matematiche Fisiche e Naturali,BIO/07,,BIOLOGIA CELLULARE E AMBIENTALE,2010,05 - Scienze biologiche
Ricercatore,LORETO Carla Agata Erika,F,CATANIA,Medicina e Chirurgia,BIO/16,,SCIENZE BIO-MEDICHE,2010,05 - Scienze biologiche
Associato confermato,LORINI Giovanni,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,BIO/09,,Non disponibile,2010,05 - Scienze biologiche
Ordinario,LORUSSO Michele,M,BARI,Medicina e Chirurgia,BIO/10,,SCIENZE MEDICHE DI BASE (SMB),2010,05 - Scienze biologiche
Ricercatore,LOSSO Maria Adele,F,della CALABRIA,Scienze Matematiche Fisiche e Naturali,BIO/11,,BIOLOGIA CELLULARE,2010,05 - Scienze biologiche
Ordinario,LOTTI Marina,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,BIO/10,,BIOTECNOLOGIE E BIOSCIENZE,2010,05 - Scienze biologiche
Ordinario,LOVARI Sandro,M,SIENA,Scienze Matematiche Fisiche e Naturali,BIO/05,,SCIENZE AMBIENTALI,2010,05 - Scienze biologiche
