Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
785932,RG.BIO,Andrea Cavagna,"National Research Council (CNR) - Italy [999979500,IT]",Advanced Grants,2017,2301250.0
714625,NURE,Manuela Cavallaro,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2016,1272000.0
714788,REINVENT,Simone Alioli,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2016,1500000.0
754802,CHIMERA,Dario Polli,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2016,149375.0
740006,NNNPDF,Stefano Forte,"University of Milan [999995796,IT]",Advanced Grants,2016,1602862.0
693604,3D-COUNT,Fabio Sciarrino,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2015,150000.0
713651,PROCEEDS,Irene Rosana Giardina,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2015,150000.0
681647,ENUBET,Andrea Longhin,"University of Padua [999995602,IT]",Consolidator Grants,2015,2000000.0
682629,TOPSIM,Leonardo Fallani,"University of Florence [999895789,IT]",Consolidator Grants,2015,1595000.0
692943,BrainBIT,Francesco Pavone,"University of Florence [999895789,IT]",Advanced Grants,2015,2370250.0
694925,LoTGlasSy,Giorgio Parisi,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2015,1760000.0
694683,PHOSPhOR,Lorenzo Marrucci,"University of Naples Federico II [999976590,IT]",Advanced Grants,2015,1680833.0
637844,HBQFTNCER,Sara Pasquetti,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2014,1287088.0
639242,PlusOne,Carlo Sias,"National Institute of Metrological Research [998627805,IT]",Starting Grants,2014,1496250.0
637738,PoLiChroM,Matteo Zaccanti,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2014,1495000.0
664782,VANGUARD,Claudio Conti,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2014,150000.0
647981,3DSPIN,Alessandro Bacchetta,"University of Pavia [999893752,IT]",Consolidator Grants,2014,1509000.0
647390,EXPLORINGMATTER,Giulia Manca,"University of Cagliari [999841663,IT]",Consolidator Grants,2014,1849957.0
649031,iMPACT,Piero Giubilato,"University of Padua [999995602,IT]",Consolidator Grants,2014,1810000.0
648723,NPTEV-TQP2020,Lucio Cerrito,"University of Rome - Tor Vergata [999844864,IT]",Consolidator Grants,2014,1971841.0
648615,VIBRA,Dario Polli,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2014,1822500.0
669668,NEO-NAT,Alessandro Strumia,"University of Pisa [999862712,IT]",Advanced Grants,2014,1876215.3
669529,UFSD,Nicolo' Cartiglia,"National Institute for Nuclear Physics - Italy [999992789,IT]",Advanced Grants,2014,1793312.5
335359,CALDER,Marco Vignati,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2013,1176758.4
