Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
833504,SPANUMBRA,Giorgio Vallortigara,"University of Trento [999841954,IT]",Advanced Grants,2018,2628333.0
755816,AUTISMS,Michael Lombardo,"Italian Institute of Technology [999596447,IT]",Starting Grants,2017,1499444.0
759651,HANDmade,Viviana Betti,"Sapienza University of Rome [999987745,IT]",Starting Grants,2017,1494662.0
789601,KID,Cristina Becchio,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2017,148413.0
779604,MoViS,Giorgio Vallortigara,"University of Trento [999841954,IT]",Proof of Concept,2017,149936.0
773202,BabyRhythm,Judit Gervain,"University of Padua [999995602,IT]",Consolidator Grants,2017,1621250.0
772953,LIGHTUP,Marco Tamietto,"University of Turin [999861936,IT]",Consolidator Grants,2017,1994212.0
789058,eHONESTY,Salvatore Maria Aglioti,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2017,2497188.0
715058,InStance,Agnieszka Anna Wykowska,"Italian Institute of Technology [999596447,IT]",Starting Grants,2016,1499937.0
679010,STATLEARN,Davide Crepaldi,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2015,1498210.0
682117,BiT,Domenica Bueti,"International School for Advanced Studies - Trieste [999850878,IT]",Consolidator Grants,2015,1670830.0
640594,CRASK,Scott Laurence Fairhall,"University of Trento [999841954,IT]",Starting Grants,2014,1472502.0
640638,Objectivity,Jan (Michael) Sprenger,"University of Turin [999861936,IT]",Starting Grants,2014,1487928.0
617629,Transfer-Learning,Giorgio Coricelli,"University of Trento [999841954,IT]",Consolidator Grants,2013,1999998.0
338866,ECSPLAIN,Maria Concetta Morrone,"University of Pisa [999862712,IT]",Advanced Grants,2013,2493000.0
339939,Perceptual Awareness,Carlo Alberto Marzi,"University of Verona [999838074,IT]",Advanced Grants,2013,2139556.0
313658,CoPeST,David Paul Melcher,"University of Trento [999841954,IT]",Starting Grants,2012,1002102.0
312919,I.MOVE.U,Cristina Becchio,"Italian Institute of Technology [999596447,IT]",Starting Grants,2012,999920.0
313692,LEX-MEA,Antonino Vallesi,"University of Padua [999995602,IT]",Starting Grants,2012,1475950.0
323606,Parietalaction,Guy A. Orban,"University of Parma [999846028,IT]",Advanced Grants,2012,2475000.0
283554,COMPOSES,Marco Baroni,"University of Trento [999841954,IT]",Starting Grants,2011,1117636.0
295517,PREMESOR,Giorgio Vallortigara,"University of Trento [999841954,IT]",Advanced Grants,2011,2367922.0
263318,NeuroInt,Uri Hasson,"University of Trento [999841954,IT]",Starting Grants,2010,978678.0
269502,PASCAL,Jacques Mehler,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2010,2500000.0
241176,ODMIR,Chiara Turati,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2009,1208400.0
229445,STANIB,David Burr,"University of Florence [999895789,IT]",Advanced Grants,2008,2376000.0
210922,GENMOD,Marco Zorzi,"University of Padua [999995602,IT]",Starting Grants,2007,492200.0
101164219,COST-X,Neri Marsili,"University of Turin [999861936,IT]",Starting Grants,2024,1389776.0
101164035,ReMedY,Marilena Panarelli,"University of Palermo [999734284,IT]",Starting Grants,2024,1498828.0
101164324,UnMaP,Silvia Di Vincenzo,"University of Venice [999897341,IT]",Starting Grants,2024,1417204.0
101171020,ArOMa,Elisa Coda,"University of Pisa [999862712,IT]",Consolidator Grants,2024,1555956.0
101171475,NEWWORLD,Cecilia Muratori,"University of Pavia [999893752,IT]",Consolidator Grants,2024,1999663.0
101170566,TabulaRasa,Michele Cammarosano,"University of Naples L'Orientale [998507913,IT]",Consolidator Grants,2024,1990000.0
101115616,ALiDiM,Simona Olivieri,"University of Venice [999897341,IT]",Starting Grants,2023,1496241.0
101117162,I-STREAM,Ofer Gazit,"University of Venice [999897341,IT]",Starting Grants,2023,1302500.0
101118016,MEGAMAPS,Sara Borrillo,"University of Naples L'Orientale [998507913,IT]",Starting Grants,2023,1478750.0
101137707,TIMELAPSE,Andrea Pinotti,"University of Milan [999995796,IT]",Proof of Concept,2023,150000.0
101142420,18ETHICS,Stefano Bacin,"University of Milan [999995796,IT]",Advanced Grants,2023,1463694.0
101100643,EUFACETS,Massimo Leone,"University of Turin [999861936,IT]",Proof of Concept,2022,150000.0
101088645,AIMODELS,Matteo Pasquinelli,"University of Venice [999897341,IT]",Consolidator Grants,2022,1927573.0
101086695,APATHES,Christian Vassallo,"University of Turin [999861936,IT]",Consolidator Grants,2022,1999587.0
101088363,CAncAn,Annick Payne,"University of Venice [999897341,IT]",Consolidator Grants,2022,1598515.0
101088698,SIQILLIYA,Nicola Carpentieri,"University of Padua [999995602,IT]",Consolidator Grants,2022,1931221.0
101039777,ABSTRACTION,Marianna Marcella Bolognesi,"University of Bologna [999993953,IT]",Starting Grants,2021,1392265.0
101041826,FragArist,Gertjan Verhasselt,"University of Padua [999995602,IT]",Starting Grants,2021,1500000.0
101042338,HEMIG,Lorenzo Pezzani,"University of Bologna [999993953,IT]",Starting Grants,2021,1499855.0
101040302,LeviNeT,Martina Mengoni,"University of Ferrara [999839626,IT]",Starting Grants,2021,1190125.0
101040535,PEA,Enrico Terrone,"University of Genoa [999976687,IT]",Starting Grants,2021,1493753.0
101041596,PolyphonicPhilosophy,Caterina Tarlazzi,"University of Venice [999897341,IT]",Starting Grants,2021,1498215.0
101042655,SCRIBEMUS,Giovanni Varelli,"University of Pavia [999893752,IT]",Starting Grants,2021,1497793.0
101040474,VeNiss,Ludovica Galeazzo,"University of Padua [999995602,IT]",Starting Grants,2021,1499877.5
101054750,LAUDARE,Francesco Zimei,"University of Trento [999841954,IT]",Advanced Grants,2021,2388928.0
949742,HealthXCross,Roberta Raffaeta,"University of Venice [999897341,IT]",Starting Grants,2020,1367062.0
950084,NEMUS,Michele Ducceschi,"University of Bologna [999993953,IT]",Starting Grants,2020,1497265.0
950513,NONWESTLIT,Ozen Nergis Dolcerocca,"University of Bologna [999993953,IT]",Starting Grants,2020,1457660.0
950248,SenSArt,Zuleika Murat,"University of Padua [999995602,IT]",Starting Grants,2020,1499328.0
949645,WRITE,Adriana Iezzi,"University of Bologna [999993953,IT]",Starting Grants,2020,1113750.0
851466,EJCM,Joseph Sanzo,"University of Venice [999897341,IT]",Starting Grants,2019,1311355.0
852216,STAGING-ABJECTION,Rustem Ertug Altinay,"Kadir Has University [999891133,TR]",Starting Grants,2019,1429460.0
865863,AdriArchCult,Jasenka Gudelj,"University of Venice [999897341,IT]",Consolidator Grants,2019,1999750.0
865817,PURA,Olga Tribulato,"University of Venice [999897341,IT]",Consolidator Grants,2019,1303437.0
885222,GreekSchools,Graziano Ranocchia,"University of Pisa [999862712,IT]",Advanced Grants,2019,2498356.0
882588,PAGES,Michela Rosellini,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2019,2486375.0
819649,FACETS,Massimo Leone,"University of Turin [999861936,IT]",Consolidator Grants,2018,1997803.0
834033,AN-ICON,Andrea Pinotti,"University of Milan [999995796,IT]",Advanced Grants,2018,2328736.0
758732,FLOS,Emiliano Fiori,"University of Venice [999897341,IT]",Starting Grants,2017,1343175.0
757314,NeMoSanctI,Jenny Ponzo,"University of Turin [999861936,IT]",Starting Grants,2017,1051590.0
757299,PALaC,Federico Giusfredi,"University of Verona [999838074,IT]",Starting Grants,2017,1233750.0
758145,PROTEUS,Silvia De Bianchi,"University of Milan [999995796,IT]",Starting Grants,2017,1418869.0
758450,RISK,Alessandro Metlica,"University of Padua [999995602,IT]",Starting Grants,2017,1452210.0
772544,IMPACT HAU,Marc Brightman,"University of Bologna [999993953,IT]",Consolidator Grants,2017,1999999.0
771127,INSCRIBE,Silvia Ferrara,"University of Bologna [999993953,IT]",Consolidator Grants,2017,1463337.0
769994,LiLa,Marco Carlo Passarotti,"University Cattolica (UCSC) [999915771,IT]",Consolidator Grants,2017,1984500.0
786379,ArsNova,Maria Sofia Lannutti,"University of Florence [999895789,IT]",Advanced Grants,2017,2193375.0
786572,NOTAE,Antonella Ghignoli,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2017,1479625.0
714874,DiGe,Renata Sõukand,"University of Venice [999897341,IT]",Starting Grants,2016,1496675.0
727832,OPenPal,Maurizio Ghelardi,"Iuav University of Venice [998948293,IT]",Proof of Concept,2016,150000.0
724914,AlchemEast,Matteo Martelli,"University of Bologna [999993953,IT]",Consolidator Grants,2016,1997000.0
678711,INCOMMON,Annalisa Sacchi,"Iuav University of Venice [998948293,IT]",Starting Grants,2015,1452685.91
637533,BIFLOW,Antonio Montefusco,"University of Venice [999897341,IT]",Starting Grants,2014,1480625.0
639276,PhilPharm,Barbara Osimani,"Polytechnic University of Marche [999866689,IT]",Starting Grants,2014,1500000.0
636983,PLATINUM,Maria Chiara Scappaticcio,"University of Naples Federico II [999976590,IT]",Starting Grants,2014,1485712.0
335949,ARISTOTLE,Marco Sgarbi,"University of Venice [999897341,IT]",Starting Grants,2013,1483180.0
339828,DIGMEDTEXT,Isabella Andorlini,"University of Parma [999846028,IT]",Advanced Grants,2013,654836.0
339621,PhiBor,Amos Bertolacci,"IMT Institute for Advanced Studies Lucca [965146412,IT]",Advanced Grants,2013,1140800.0
295960,COSMED,Rosario Marco Nobile,"University of Palermo [999734284,IT]",Advanced Grants,2011,1203960.0
295620,LOOKINGATWORDS,Lina Bolzoni,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2011,1376200.0
295550,SIXXI,Sergio Poretti,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2011,987270.0
263549,HistAntArtSI,Bianca De Divitiis,"University of Naples Federico II [999976590,IT]",Starting Grants,2010,1500000.0
269774,DASI,Alessandra Avanzini,"University of Pisa [999862712,IT]",Advanced Grants,2010,2129200.0
241184,PHerc,Graziano Ranocchia,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2009,900000.0
249483,EUROCORR,Maurizio Ghelardi,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2009,1215600.0
249431,Greek into Arabic,Cristina D'Ancona,"University of Pisa [999862712,IT]",Advanced Grants,2009,2106380.99
101165261,COLIBRI,Matilde Malaspina,"Sapienza University of Rome [999987745,IT]",Starting Grants,2024,1495625.0
101115916,INWOOD,Giacomo Bonan,"University of Turin [999861936,IT]",Starting Grants,2023,1489901.0
101125532,AviArch,Beatrice Demarchi,"University of Turin [999861936,IT]",Consolidator Grants,2023,1999969.0
101124518,EU-GUNS,Matteo Millan,"University of Padua [999995602,IT]",Consolidator Grants,2023,1999913.0
101126116,PatriFem,Denise Bezzina,"University of Genoa [999976687,IT]",Consolidator Grants,2023,1960215.0
101124725,REDMIX,Valentina Fusari,"University of Turin [999861936,IT]",Consolidator Grants,2023,1864059.0
101077793,DEMALPS,Marta Gravela,"University of Turin [999861936,IT]",Starting Grants,2022,1495320.0
101077348,MOTHERS,Alessia Nava,"Sapienza University of Rome [999987745,IT]",Starting Grants,2022,1499923.0
101088489,WO-NAM,Chiara Bonfiglioli,"University of Venice [999897341,IT]",Consolidator Grants,2022,1985458.0
101043954,FeBo,Elena Franchi,"University of Trento [999841954,IT]",Consolidator Grants,2021,668961.0
101044437,SSE1K,Helen Foxhall Forbes,"University of Venice [999897341,IT]",Consolidator Grants,2021,1998963.0
101043939,UseFool,Lucia Raggetti,"University of Bologna [999993953,IT]",Consolidator Grants,2021,1943208.0
101054345,CAPASIA,Giorgio Riello,"European University Institute [999902385,IT]",Advanced Grants,2021,2368600.0
101054143,IN-ROME,Barbara E. Borg,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2021,2498457.0
101002811,FELIX,Claudio Ottoni,"University of Rome - Tor Vergata [999844864,IT]",Consolidator Grants,2020,1999420.0
101001839,GEODAP,Cristiano Nicosia,"University of Padua [999995602,IT]",Consolidator Grants,2020,1987141.0
101001857,HOLYLAB,Felicita Tramontana,"University of Rome - Roma Tre [999866107,IT]",Consolidator Grants,2020,1964456.0
101002084,MICOLL,Stefania Gialdroni,"University of Padua [999995602,IT]",Consolidator Grants,2020,1610593.0
101002763,RESP,Dario Calomino,"University of Verona [999838074,IT]",Consolidator Grants,2020,1998026.0
101020613,Graff-IT,Carlo Tedeschi,"Gabriele d’Annunzio University Chieti-Pescara [999866786,IT]",Advanced Grants,2020,2499731.0
101019166,HumanEuroMed,Silvia Salvatici,"University of Florence [999895789,IT]",Advanced Grants,2020,1968945.0
853539,ANTIGONE,Anna Maria Stagno,"University of Genoa [999976687,IT]",Starting Grants,2019,1498000.0
865067,ArmEn,Zaroui Pogossian,"University of Florence [999895789,IT]",Consolidator Grants,2019,1999994.0
885285,ECOINT,Glenda Sluga,"European University Institute [999902385,IT]",Advanced Grants,2019,2342600.0
884910,MERCATOR,Youssef Cassis,"European University Institute [999902385,IT]",Advanced Grants,2019,2354381.0
882549,SOCIOBORD,Laura Lee Downs,"European University Institute [999902385,IT]",Advanced Grants,2019,2499682.0
803147,RESOLUTION,Sahra Talamo,"University of Bologna [999993953,IT]",Starting Grants,2018,1499381.0
803624,SHIVADHARMA,Florinda De Simini,"University of Naples L'Orientale [998507913,IT]",Starting Grants,2018,1499348.75
803644,SpoilsofWAR,Tamas Vonyo,"Bocconi University Milan [999838850,IT]",Starting Grants,2018,1498798.0
819353,SlaveVoices,M'Hamed Oualdi,"Sciences Po [999957869,FR]",Consolidator Grants,2018,1999975.0
818098,TACITROOTS,Giulia Giannini,"University of Milan [999995796,IT]",Consolidator Grants,2018,1708206.0
833834,Water-Cultures,David Gentilcore,"University of Venice [999897341,IT]",Advanced Grants,2018,2444549.0
759829,DISCOMPOSE,Domenico Cecere,"University of Naples Federico II [999976590,IT]",Starting Grants,2017,1481813.0
716849,EURECON,Emmanuel Mourlon-Druol,"European University Institute [999902385,IT]",Starting Grants,2016,1498451.0
725883,EarlyModernCosmology,Pietro Daniel Omodeo,"University of Venice [999897341,IT]",Consolidator Grants,2016,1999976.0
725687,SMITE,Guido Alfani,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2016,1499375.0
724046,SUCCESS,Stefano Benazzi,"University of Bologna [999993953,IT]",Consolidator Grants,2016,1993811.0
677199,PREWArAs,Matteo Millan,"University of Padua [999995602,IT]",Starting Grants,2015,1448776.0
681673,L.I.F.E.,Corinna Rossi,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2015,1994932.5
694476,EMoBookTrade,Angela Nuovo,"University of Milan [999995796,IT]",Advanced Grants,2015,1434375.0
687567,PAThs,Paola Buzi,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2015,2192507.0
639286,HIDDEN FOODS,Emanuela Cristiani,"Sapienza University of Rome [999987745,IT]",Starting Grants,2014,1499856.0
670792,nEU-Med,Richard Hodges,"University of Siena [999898020,IT]",Advanced Grants,2014,2500000.0
669194,PanEur1970s,Federico Romero,"European University Institute [999902385,IT]",Advanced Grants,2014,1811200.0
670436,SIR,Aldo Schiavone,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2014,2025000.0
341102,REDHIS,Dario Giuseppe Mantovani,"University of Pavia [999893752,IT]",Advanced Grants,2013,1396980.0
313737,SWAB,Alice Bellagamba,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2012,935100.0
283802,EINITE,Guido Alfani,"Bocconi University Milan [999838850,IT]",Starting Grants,2011,995400.0
295854,BABE,Luisella Passerini,"European University Institute [999902385,IT]",Advanced Grants,2011,1488501.0
249394,EBLA CHORA,Paolo Matthiae,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2009,1105240.0
230484,INMARWEL,Giovanni Federico,"European University Institute [999902385,IT]",Advanced Grants,2008,880800.0
101164071,UNITES,Stefano Moret,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2024,1499347.1
101170509,BELIEFS,Emanuele Campiglio,"University of Bologna [999993953,IT]",Consolidator Grants,2024,1999391.0
101170187,EnactDECOM,Mara Ferreri,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2024,1959768.0
101170376,HARSH,Elisabetta De Cao,"University of Bologna [999993953,IT]",Consolidator Grants,2024,1992656.0
101169652,SOS-GVC,Jacopo Canello,"University of Parma [999846028,IT]",Consolidator Grants,2024,1248100.0
101117427,FIND,Francesco Lamperti,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2023,1499825.0
101076495,FIREPOL,Lorenza Belinda Fontana,"University of Turin [999861936,IT]",Starting Grants,2022,1499993.84
101077533,Frailife,Nicoletta Balbo,"Bocconi University Milan [999838850,IT]",Starting Grants,2022,1401938.0
101077766,illicitLABOUR,Carlo Inverardi-Ferri,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2022,1500000.0
101089107,GREEN TIPPING,Alessandro Tavoni,"University of Bologna [999993953,IT]",Consolidator Grants,2022,1758084.0
101044703,EUNICE,Massimo Tavoni,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2021,1995000.0
101045534,PRA,David Stuckler,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2021,1880430.0
101053836,SOLROUTES,Luca Queirolo Palmas,"University of Genoa [999976687,IT]",Advanced Grants,2021,2498653.75
101054428,TheGAME,Claudio Minca,"University of Bologna [999993953,IT]",Advanced Grants,2021,2473760.0
