Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
101112725,GUIDO,Francesco Topputo,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101069181,LEILA,Paola Saccomandi,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101068512,NICHILD,Manuela Teresa Raimondi,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101059685,NODRY,Alberto Giacomello,"ROMA ""La Sapienza""",1,Proof of Concept,2022,150000.0
101069171,PANTANI,Matteo Passoni,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101113522,POLIRNA,Valeria Chiono,Politecnico di TORINO,1,Proof of Concept,2022,150000.0
101113125,PROMETEO,Carmen Giordano,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101113345,PYPAINT,Carlo Spartaco Casari,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101069172,SENSE,Francesco Topputo,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101069436,Stripe-o-Morph,Antonio Desimone,SISSA - TRIESTE,1,Proof of Concept,2022,150000.0
101061820,TCOtronics,Francesco Scotognella,"Politecnico di MILANO,Politecnico di TORINO",2,Proof of Concept,2022,150000.0
101088694,BREATHE,Tommaso Andreussi,Scuola Superiore Sant'Anna,1,Consolidator Grants,2022,2344135.0
101089265,GREEN SPECIES,Camilla Colombo,Politecnico di MILANO,1,Consolidator Grants,2022,1999398.0
101086644,S-FOAM,Diego Misseroni,TRENTO,1,Consolidator Grants,2022,1930096.0
101093897,ButterFly,Filippo Berto,"ROMA ""La Sapienza""",1,Advanced Grants,2022,2499811.0
101039657,CARDIOTRIALS,Francesco Viola,Gran Sasso Science Institute,1,Starting Grants,2021,1499423.0
101039467,CoDe4Bio,Giulia Scalet,PAVIA,1,Starting Grants,2021,1495100.0
101041255,HELIOS,Anna Laura Pisello,PERUGIA,1,Starting Grants,2021,1498125.0
101040383,NoOne,Eleonora Macchia,BARI,1,Starting Grants,2021,2499579.0
101039198,SURFACE,Antonio Papangelo,Politecnico di BARI,1,Starting Grants,2021,1499750.0
101044228,ArcHIDep,Sara Bagherifard,Politecnico di MILANO,1,Consolidator Grants,2021,1998000.0
101053122,BEACONSANDEGG,Manuela Teresa Raimondi,Politecnico di MILANO,1,Advanced Grants,2021,2498690.0
